[0.012s] Invoking command in '/home/x/CODE/Inverse_Arm/build/ur_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/x/CODE/Inverse_Arm/src/Universal_Robots_ROS2_Description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/x/CODE/Inverse_Arm/install/ur_description
[0.072s] -- The C compiler identification is GNU 11.4.0
[0.134s] -- The CXX compiler identification is GNU 11.4.0
[0.141s] -- Detecting C compiler ABI info
[0.214s] -- Detecting C compiler ABI info - done
[0.219s] -- Check for working C compiler: /usr/bin/cc - skipped
[0.219s] -- Detecting C compile features
[0.220s] -- Detecting C compile features - done
[0.222s] -- Detecting CXX compiler ABI info
[0.308s] -- Detecting CXX compiler ABI info - done
[0.313s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[0.313s] -- Detecting CXX compile features
[0.314s] -- Detecting CXX compile features - done
[0.317s] -- Found ament_cmake: 1.3.11 (/opt/ros/humble/share/ament_cmake/cmake)
[0.454s] -- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
[0.508s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.535s] -- Found ament_cmake_pytest: 1.3.11 (/opt/ros/humble/share/ament_cmake_pytest/cmake)
[1.181s] -- Configuring done
[1.183s] -- Generating done
[1.185s] -- Build files have been written to: /home/x/CODE/Inverse_Arm/build/ur_description
[1.191s] Invoked command in '/home/x/CODE/Inverse_Arm/build/ur_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/x/CODE/Inverse_Arm/src/Universal_Robots_ROS2_Description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/x/CODE/Inverse_Arm/install/ur_description
[1.191s] Invoking command in '/home/x/CODE/Inverse_Arm/build/ur_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/x/CODE/Inverse_Arm/build/ur_description -- -j8 -l8
[1.231s] Invoked command in '/home/x/CODE/Inverse_Arm/build/ur_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/x/CODE/Inverse_Arm/build/ur_description -- -j8 -l8
[1.245s] Invoking command in '/home/x/CODE/Inverse_Arm/build/ur_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/x/CODE/Inverse_Arm/build/ur_description
[1.253s] -- Install configuration: ""
[1.253s] -- Execute custom install script
[1.255s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/initial_positions.yaml
[1.265s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur10/default_kinematics.yaml
[1.275s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur10/joint_limits.yaml
[1.284s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur10/physical_parameters.yaml
[1.293s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur10/visual_parameters.yaml
[1.302s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur10e/default_kinematics.yaml
[1.311s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur10e/joint_limits.yaml
[1.320s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur10e/physical_parameters.yaml
[1.329s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur10e/visual_parameters.yaml
[1.340s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur12e/default_kinematics.yaml
[1.349s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur12e/joint_limits.yaml
[1.358s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur12e/physical_parameters.yaml
[1.367s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur12e/visual_parameters.yaml
[1.376s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur15/default_kinematics.yaml
[1.385s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur15/joint_limits.yaml
[1.394s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur15/physical_parameters.yaml
[1.404s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur15/visual_parameters.yaml
[1.413s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur16e/default_kinematics.yaml
[1.422s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur16e/joint_limits.yaml
[1.433s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur16e/physical_parameters.yaml
[1.443s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur16e/visual_parameters.yaml
[1.453s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur20/default_kinematics.yaml
[1.463s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur20/joint_limits.yaml
[1.472s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur20/physical_parameters.yaml
[1.480s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur20/visual_parameters.yaml
[1.489s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur3/default_kinematics.yaml
[1.498s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur3/joint_limits.yaml
[1.508s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur3/physical_parameters.yaml
[1.519s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur3/visual_parameters.yaml
[1.529s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur30/default_kinematics.yaml
[1.538s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur30/joint_limits.yaml
[1.547s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur30/physical_parameters.yaml
[1.556s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur30/visual_parameters.yaml
[1.566s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur3e/default_kinematics.yaml
[1.575s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur3e/joint_limits.yaml
[1.583s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur3e/physical_parameters.yaml
[1.592s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur3e/visual_parameters.yaml
[1.599s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur5/default_kinematics.yaml
[1.608s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur5/joint_limits.yaml
[1.616s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur5/physical_parameters.yaml
[1.625s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur5/visual_parameters.yaml
[1.636s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur5e/default_kinematics.yaml
[1.650s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur5e/joint_limits.yaml
[1.660s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur5e/physical_parameters.yaml
[1.671s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur5e/visual_parameters.yaml
[1.680s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur7e/default_kinematics.yaml
[1.689s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur7e/joint_limits.yaml
[1.698s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur7e/physical_parameters.yaml
[1.708s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/config/ur7e/visual_parameters.yaml
[1.717s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/launch/view_ur.launch.py
[1.728s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/collision/base.stl
[1.739s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/collision/forearm.stl
[1.750s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/collision/shoulder.stl
[1.759s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/collision/upperarm.stl
[1.768s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/collision/wrist1.stl
[1.777s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/collision/wrist2.stl
[1.786s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/collision/wrist3.stl
[1.794s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/visual/base.dae
[1.804s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/visual/forearm.dae
[1.812s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/visual/shoulder.dae
[1.820s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/visual/upperarm.dae
[1.829s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/visual/wrist1.dae
[1.838s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/visual/wrist2.dae
[1.848s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10/visual/wrist3.dae
[1.858s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10e/collision/base.stl
[1.867s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10e/collision/forearm.stl
[1.876s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10e/collision/shoulder.stl
[1.885s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10e/collision/upperarm.stl
[1.893s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10e/collision/wrist1.stl
[1.902s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10e/collision/wrist2.stl
[1.910s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10e/collision/wrist3.stl
[1.924s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10e/visual/base.dae
[1.934s] -- Symlinking: /home/x/CODE/Inverse_Arm/install/ur_description/share/ur_description/meshes/ur10e/visual/forearm.dae
